farm_name,lat,lon
NMHm,34.86515,-73.37721
k3Ke,35.53675,-73.3268
3mn3,35.26579,-73.31229
ZtLW,35.49699,-73.28366
ooqQ,35.93208,-73.27433
xS1s,35.11551,-73.23979
SQME,34.57128,-73.21411
WcSn,35.57945,-73.2132
nAjl,35.24044,-73.17434
mjFk,36.45895,-73.10378
3lMh,36.69215,-73.07868
dsgl,35.31822,-73.01067
WwUr,35.03128,-72.92412
GAuc,35.68649,-72.92094
x8F6,34.47345,-72.87806
m78c,36.63146,-72.86837
Q1oa,35.19983,-72.84058
lMjz,35.20653,-72.82486
m5D3,35.04514,-72.79016
ZQ8d,34.56699,-72.77085
SBdW,34.94145,-72.7303
9NJL,36.48894,-72.67433
uMvX,35.79583,-72.65801
Ay3C,36.70758,-72.64177
Uezs,36.47884,-72.60577
2mYF,36.56727,-72.53105
Nzmo,34.2531,-72.52706
Ukfp,36.23707,-72.50411
FLF6,34.53903,-72.49545
kuXa,34.55181,-72.45333
Owv3,34.15304,-72.4318
grfd,34.631,-72.4124
7UWw,35.43779,-72.39907
no5K,34.26569,-72.3819
JmkX,36.66173,-72.33572
yxqU,35.95477,-72.22397
SEKW,34.21119,-72.16598
2DYM,36.92531,-72.13266
puaV,34.03695,-72.11853
DOKy,34.55783,-72.11538
td2V,35.82529,-72.10667
QLBr,35.25507,-72.00321
ITHk,34.85231,-71.98103
l1vP,35.88391,-71.96372
FYx4,35.8165,-71.91385
WTAt,35.37729,-71.70567
NPak,36.8436,-71.69538
PlRN,34.7868,-71.68629
UIS9,35.51197,-71.6315
Jaad,35.4234,-71.62983
cKLz,34.90202,-71.60502
GRNp,34.59768,-71.59378
TC6g,35.21286,-71.5682
dbbM,36.38169,-71.51558
stoR,35.30992,-71.50691
uH8q,34.68467,-71.47871
I62g,36.82617,-71.45832
U6a3,35.2668,-71.45562
cxR7,34.74588,-71.42344
WF3m,35.8625,-71.41975
1s4D,35.46276,-71.39391
DuTY,34.49165,-71.34687
DmAT,34.22993,-71.3392
ZMGH,34.83701,-71.33468
wbWq,36.17827,-71.27875
dsh2,34.90188,-71.24895
tDSr,36.39497,-71.21768
WthQ,34.28413,-71.21293
gDOr,35.16065,-71.2087
CE97,34.9497,-71.07159
Vrjd,36.08426,-71.02735
doPy6,35.69271,-74.49759
DUBvw,33.96709,-74.49683
G18Ka,33.66126,-74.49533
1zSqR,37.34542,-74.4932
HyjAB,36.153,-74.49251
12gtZ,34.79599,-74.48997
PPQ3l,33.74682,-74.48919
0a2bY,34.38622,-74.48727
uE9C9,34.93596,-74.48693
E00FJ,33.58619,-74.4868
waTpI,35.42933,-74.48496
s90uO,37.0645,-74.48439
0dJl7,35.15892,-74.48271
yQkj2,36.51787,-74.48152
iJTs2,37.05274,-74.47887
nHVjy,34.3894,-74.47873
tOUav,35.63085,-74.47862
GQr5B,35.99401,-74.47859
Pz26z,36.40129,-74.47696
RGQgC,36.45353,-74.47653
TGOWA,35.11575,-74.47487
9Ck3C,35.68126,-74.4739
WzUgW,36.85361,-74.47364
rpeCm,36.40963,-74.47199
i3ge8,35.81227,-74.47011
3fSrr,37.42162,-74.46956
JTghy,36.12289,-74.46892
2PtfM,34.06754,-74.46872
ayII5,37.27056,-74.46705
FiL6S,34.54592,-74.46469
ipd8Y,36.37029,-74.46242
0qcNq,37.21484,-74.46098
zTXuX,34.35238,-74.45961
5cM48,34.77811,-74.45696
WsJyo,33.99025,-74.45652
zs7c8,34.16239,-74.4564
o8L39,35.36605,-74.45542
M8Ma6,35.19957,-74.44978
K4PmC,34.97718,-74.44595
he0Te,36.04517,-74.44356
FGfsg,36.30127,-74.44273
ee5qG,37.00813,-74.44244
ZSS3v,35.88937,-74.43907
EiXBa,35.40096,-74.43862
uJi0O,33.76193,-74.43668
Yperx,36.71999,-74.43653
MAJfi,36.88672,-74.43546
b7cTu,33.60759,-74.43487
ClVuT,34.90587,-74.43474
ebXVG,37.05729,-74.4345
lcdHO,35.4359,-74.43292
LhG7W,34.43825,-74.42904
2NbE0,37.04992,-74.42887
CFLsR,35.00869,-74.42828
PmcIt,36.73897,-74.4262
0ME5E,36.90301,-74.42617
DOgho,34.07456,-74.42404
XBe7B,35.82785,-74.4199
7hNyW,35.34277,-74.41406
tGCsp,37.15323,-74.41333
i5wPi,37.1803,-74.41313
M1c6e,36.07022,-74.4115
t8RtJ,36.05457,-74.41
ClWuU,34.09829,-74.40729
eoW1b,37.02733,-74.40629
aaBWq,37.32613,-74.4043
z4Zbc,33.97003,-74.40177
iVUYn,33.50458,-74.39909
0Vi68,35.87763,-74.39875
dpfNz,35.95804,-74.39359
Ct90d,33.81658,-74.39333
8gPZr,35.25557,-74.39303
NUbAM,35.32214,-74.39177
AOqS1,34.55043,-74.38851
NJ6Xx,35.19388,-74.38774
PaSuK,35.93164,-74.38697
wdyPs,36.74204,-74.38561
eyriX,34.21376,-74.38442
lmnrK,37.2556,-74.38332
FhIAr,34.15982,-74.38275
23C90,37.3941,-74.38196
KIEsr,35.3633,-74.38171
Fg8Cv,36.49737,-74.38146
X4TTb,34.75318,-74.3785
knz9b,36.14052,-74.37848
D84l8,36.57359,-74.37811
tmaxR,33.81032,-74.37758
bWpCR,36.38056,-74.37525
5lu16,33.68631,-74.37343
4IeK9,35.92783,-74.37059
USrKE,37.42665,-74.37004
cP8uU,36.40463,-74.36963
6GZMW,34.76,-74.36909
yo26X,36.43122,-74.36591
H5nLr,37.13901,-74.36586
NnIV5,33.8563,-74.3658
S7kxX,33.94557,-74.3612
UsQ7i,36.56808,-74.36112
zfa4s,34.75569,-74.36053
ewW3F,36.13278,-74.36047
oQWxY,37.02645,-74.35969
4ISLW,33.76046,-74.3596
KUxDF,37.3473,-74.3587
ZkvCG,37.02383,-74.35859
gTC7l,35.07077,-74.35659
rWyXi,35.68532,-74.35593
RXbiT,33.59926,-74.35576
0IVBD,33.88422,-74.35547
JWNiE,33.74986,-74.35474
TossA,35.63472,-74.35287
Ezuu6,33.61629,-74.35223
RfrgU,34.48528,-74.34718
xXWKv,33.65316,-74.34356
nDyKl,35.75213,-74.34313
8MZ3Q,34.33782,-74.3428
HdcM8,36.51659,-74.34209
xkjAj,36.00072,-74.34204
zRt0S,36.26169,-74.34111
jDbjz,36.41808,-74.3395
UOWOl,33.85414,-74.33868
6NqqS,37.42968,-74.33601
Dim1P,36.90233,-74.33486
QSdCW,36.59063,-74.33253
goz1s,34.18571,-74.33158
f2kJL,36.19459,-74.33117
Kc0qo,35.30077,-74.33028
QuBtq,35.28573,-74.32928
cQ4BA,37.34438,-74.32706
LWBGv,33.54491,-74.32555
G75wM,35.05141,-74.32555
xU4sm,37.393,-74.32553
uaitM,36.15458,-74.3251
kY6qb,34.9186,-74.32174
aM7Jz,35.68009,-74.31746
01XuQ,34.66415,-74.31353
Rbd1A,37.32213,-74.31122
0Wpig,33.69225,-74.30996
9EQn9,37.34004,-74.30733
ZsAeE,33.99194,-74.30616
sjby1,35.9675,-74.30374
SkZ3t,34.99135,-74.30317
RCc0n,35.86755,-74.30238
1hMY4,33.63445,-74.30097
CccOR,36.33789,-74.30079
lP2Af,34.56846,-74.29851
h14Bb,37.29428,-74.29823
pMHMZ,35.30923,-74.28857
Sv99J,36.42148,-74.28818
LuGqg,36.96522,-74.28602
l3cH4,36.6781,-74.28525
64X5m,34.86112,-74.28503
kxnRy,36.71988,-74.28497
wf2hq,36.90911,-74.2841
CFtQT,33.74609,-74.28142
4azSv,35.9896,-74.28107
g7W3J,36.14173,-74.27982
HwA3t,37.07903,-74.27772
ClHpt,36.42774,-74.27564
Zqjf8,35.74226,-74.27419
bulAF,36.34251,-74.2734
iddxR,35.05438,-74.27139
oVnFp,36.51898,-74.27136
FMvw7,34.02863,-74.26666
Wq2N5,34.95843,-74.26369
aEV6X,33.83729,-74.26182
nDZmf,34.50649,-74.2597
ujmGx,37.29227,-74.25903
rWJlq,37.02036,-74.2585
Ev9gc,36.27838,-74.2573
LHnT2,36.23904,-74.25546
6HAxu,35.2789,-74.25449
D80y5,33.93014,-74.25425
HzMIU,35.93462,-74.25397
bmVI6,36.54587,-74.25263
0UnEO,34.9009,-74.25189
DpGqS,34.47035,-74.24978
XMMm9,35.24871,-74.2495
MZFI9,34.08816,-74.24928
5mH5N,34.91746,-74.24474
xxYpB,34.24964,-74.24468
6XHZ3,36.03789,-74.24238
OPAUq,35.29583,-74.24197
aT8vU,34.94616,-74.24193
NtVRk,34.11558,-74.23543
XnOAH,34.31021,-74.23395
szVJX,34.43148,-74.23176
XLwZ5,37.06809,-74.23073
7twfr,35.01955,-74.22883
pVk1f,35.81208,-74.22762
i4wuj,35.45401,-74.22604
T1lpz,34.06095,-74.2219
4Y5M6,35.46455,-74.2215
1tTZp,35.59409,-74.22013
YHe5e,37.46832,-74.21629
deLoN,34.85283,-74.21426
2EQ8m,33.58021,-74.21356
KOIiT,36.1023,-74.21349
Id1lp,36.64585,-74.20983
qAdOi,36.10095,-74.20861
d5nlw,34.76034,-74.20768
thuhV,36.45916,-74.20686
weiBc,34.2616,-74.2056
3QB6B,34.47695,-74.20475
22saa,37.23185,-74.20252
msc9a,33.54511,-74.20176
tlYSD,36.74512,-74.20098
qmCj9,36.66084,-74.19411
hZimv,36.75799,-74.19399
Qw9KB,35.6604,-74.18903
39FMl,34.89892,-74.18713
8OZVf,35.19793,-74.18562
LyQLM,34.4463,-74.1847
BaJn4,36.05935,-74.18126
TS74v,36.59778,-74.17999
5gGio,36.52102,-74.17918
xX6Gu,35.1282,-74.17883
xedG0,35.29772,-74.17869
QIL3R,36.75036,-74.17824
qgddE,36.28235,-74.17809
M4MmH,36.59158,-74.17692
y0Ufr,36.15742,-74.17671
QRFdq,35.35558,-74.17558
EH8Vb,37.33803,-74.17288
tTwh3,36.41108,-74.1728
gu7Ag,36.22887,-74.17149
P8s0e,36.98007,-74.17135
v6uY0,34.75572,-74.17029
45B4g,35.21288,-74.16603
8H6Uj,34.37867,-74.16436
Y3vFZ,34.94284,-74.1638
Sgs1D,34.36506,-74.1598
3hUfN,34.0147,-74.15667
7S5Gp,34.08072,-74.15652
uUQta,37.08341,-74.15449
6Kbvo,33.73054,-74.1544
tDd1m,36.45227,-74.15414
R4pZa,35.19619,-74.15264
Jkri4,35.22987,-74.15209
3A00w,37.03551,-74.1499
Z7zaa,37.04499,-74.14936
6lLvW,34.63295,-74.14916
5SNQL,37.18217,-74.14856
9xfNO,36.50196,-74.14807
fnLcl,34.88172,-74.14457
4veWT,34.8879,-74.143
VjzYo,37.03294,-74.14216
4P22Q,33.55973,-74.14145
NotQZ,34.12584,-74.14086
NA3wv,36.25267,-74.13977
0ZfUf,35.32895,-74.13829
Ag4P1,37.28937,-74.13791
hghGl,36.18906,-74.13736
JoxGV,36.03064,-74.136
PduWZ,36.12238,-74.13527
oAkC6,35.63857,-74.13358
1LKpP,35.6569,-74.13241
B3Uik,35.42639,-74.13039
hyUaw,33.70753,-74.12931
QAVCK,36.78968,-74.12683
61CtZ,37.19828,-74.12637
0Hwsh,34.4336,-74.12296
js1JL,35.82222,-74.11859
fqaOE,37.19624,-74.11735
a2vEl,35.82781,-74.11706
XsxoI,33.8265,-74.11701
Ducp0,35.37285,-74.11536
gmFnY,36.08584,-74.1119
94RFR,36.58847,-74.1117
fyAGi,37.28956,-74.11044
aB4Zn,35.89776,-74.10913
R9ibo,34.85637,-74.10851
dUuly,35.10106,-74.10815
xnwCA,35.93789,-74.1078
803dK,37.33767,-74.10773
oyVks,37.25226,-74.10768
s69Ir,34.05716,-74.10662
ZNOA9,34.92134,-74.10639
9tPce,36.62581,-74.10582
LxxUW,36.78793,-74.1052
9P8Yj,37.12357,-74.10511
6DNDx,34.30084,-74.10509
c8ivb,34.34675,-74.10317
mY7UG,33.60438,-74.10296
RH0oQ,34.75362,-74.10185
UctQx,34.24132,-74.10105
4hwxE,33.94326,-74.09878
Fk6fA,35.12595,-74.09805
TEkLL,36.98203,-74.09658
Js0A8,36.57018,-74.09481
I7Vhf,36.08124,-74.0948
VpgSZ,34.91407,-74.09422
hD0sj,37.34735,-74.09218
B1bTG,35.11724,-74.09178
sJ3Jy,36.91581,-74.08951
xGAWu,34.35794,-74.08899
Ube6v,34.69188,-74.08884
qIoLs,35.60938,-74.08812
VwECO,37.05005,-74.08503
xmrWO,34.8102,-74.08472
f0AxN,34.90385,-74.08368
aWyFe,35.20551,-74.07957
lHiPr,37.05463,-74.07887
3RUZi,37.42003,-74.07822
lg4O3,33.5271,-74.07804
w0RfJ,35.55344,-74.07373
aWa2B,36.77057,-74.07167
Rzmoy,34.60096,-74.071
qx0k2,35.85591,-74.07004
YXwX2,34.69154,-74.06738
Lt6eo,34.25332,-74.06702
6JRsb,34.33621,-74.06331
Hm5Sb,33.69767,-74.0622
QF30l,35.0398,-74.05695
Xu7ej,35.067,-74.05689
MYiK8,34.61863,-74.05561
5WMj0,36.95825,-74.05405
jREHQ,34.09011,-74.05037
pl0mm,36.18995,-74.04892
SJuyG,34.93106,-74.04783
3oLGV,37.28738,-74.04727
JYxb2,34.07004,-74.0446
npaYi,34.91971,-74.04411
LUSv0,35.14643,-74.03969
RvQRf,36.10604,-74.03964
G0uLh,35.16768,-74.03695
Nq9nx,35.76196,-74.0366
ZhKLr,34.44983,-74.03597
TKgqi,34.17033,-74.03517
KAblT,35.02481,-74.03459
qWavF,35.84506,-74.03243
ExG8X,35.0943,-74.03151
7Ogc6,33.84603,-74.03063
XaFnD,36.75942,-74.02577
QcAjP,34.64236,-74.02517
6Qlq4,34.644,-74.02495
xqV9p,36.58888,-74.02347
9qQY9,34.07336,-74.02295
FdW86,37.35981,-74.02222
m8LYf,34.39646,-74.02152
fy53j,35.29961,-74.01554
TpvXj,37.47802,-74.01501
Yb7o8,35.9474,-74.01334
h4452,37.02832,-74.01111
LZkHp,36.67466,-74.00792
KSdUk,37.4057,-74.00676
fFLPh,37.33069,-74.00602
8CRcG,34.71949,-74.00546
y0N4J,35.11802,-74.00263
RxvMd,33.50422,-73.99645
d3IfY,35.39943,-73.99559
rJlYq,35.21752,-73.99541
riRI0,35.50288,-73.99338
n2s8b,36.43147,-73.99331
3iWX3,33.65369,-73.99202
wNU1Z,35.5702,-73.99119
ky53K,35.33237,-73.98931
IHqtA,36.21849,-73.98692
pvcMA,35.73872,-73.98629
Ysg1E,34.71361,-73.98571
lm7tp,34.24131,-73.98519
jrTgZ,34.59739,-73.98237
lqs8L,34.90261,-73.97719
zZT9q,34.13487,-73.97501
aq6FB,37.2057,-73.97411
xSOXF,35.87832,-73.97202
Krp6s,37.43538,-73.97173
w1fvp,36.44279,-73.97134
4dshG,35.04248,-73.96747
yTYVa,34.2122,-73.96677
XOhPy,35.90927,-73.96665
8OKb2,34.46987,-73.96402
AyUVm,34.01608,-73.96267
PngGE,34.0111,-73.96001
UxZjx,36.59403,-73.95933
DOO3B,37.17949,-73.95775
xWtLi,35.43788,-73.95439
i2aFI,33.69292,-73.95045
W3Yd5,35.94605,-73.94906
uCCUI,34.36089,-73.9488
P1HNS,34.92583,-73.94765
5ThVf,37.10111,-73.9448
NDhQI,34.15174,-73.94283
WwMEX,34.88976,-73.94279
jEVFe,35.96299,-73.9415
Rwgij,35.44764,-73.94133
TNSmn,36.17892,-73.94118
g8wqh,36.94076,-73.94003
hlHbm,36.83298,-73.93997
ktJSg,35.16724,-73.93929
0LFIG,34.06793,-73.93796
4ONJI,33.98431,-73.93794
PO6Ur,34.97357,-73.93427
b4BsD,34.49642,-73.93366
j9x3M,35.76939,-73.93332
nVVGB,35.35811,-73.93315
Qc04U,37.14416,-73.9328
taNnC,33.93401,-73.9313
IIcZy,34.65026,-73.92988
CxVF3,35.03358,-73.92896
J2CdA,37.46175,-73.92619
VPqQP,36.69046,-73.92192
Lfzpj,35.81349,-73.91944
gz1qB,35.47586,-73.91936
6lH3t,33.99394,-73.91787
OFYWM,34.29042,-73.91567
wf9cf,36.74505,-73.91381
PMcrE,36.89729,-73.91367
w5tSe,33.68007,-73.91361
5zqKP,33.81454,-73.91345
MtzWW,35.37527,-73.91019
6qIeN,37.26295,-73.90968
OXnrw,34.67233,-73.90755
eqzsd,37.39612,-73.90461
8QZLG,34.4214,-73.90351
5PMSS,37.07139,-73.90099
m49bG,36.6993,-73.89891
qBYu6,35.5941,-73.89852
rpmDf,35.60151,-73.89823
XIu5l,36.71173,-73.8975
OIYag,35.79096,-73.89568
FDMJ9,35.87833,-73.89545
bVuzb,33.69432,-73.89029
G19yx,36.7594,-73.88986
JFns4,36.55766,-73.88944
Zvmcg,37.4453,-73.88865
D3sZv,35.1582,-73.88831
pWTPB,34.93058,-73.88398
gSaoG,36.94933,-73.88166
SwV1r,34.6859,-73.88163
BTt3i,36.80273,-73.88145
KP22S,33.72881,-73.87889
3gMhx,36.93419,-73.87733
4EO8M,36.79943,-73.87224
LUWUX,35.50094,-73.87173
SorBj,34.88016,-73.87124
xYVBf,36.73618,-73.87004
esRB2,36.56813,-73.8686
36eKz,34.40833,-73.86818
Tbodb,34.44168,-73.86593
Pt2lB,36.29695,-73.86544
N0KA6,35.23829,-73.86484
0edgB,33.92524,-73.86342
J1vaV,36.52396,-73.86171
y4yDi,36.60836,-73.86071
teuq1,34.80769,-73.86053
WeYJf,34.70302,-73.86044
4YT5z,37.43866,-73.8585
BeSPI,36.56423,-73.85814
2utp2,36.07603,-73.85791
FJ1Cu,36.42367,-73.85616
gfkd9,33.7956,-73.85229
SrCUn,35.57048,-73.84703
t8Ggp,35.889,-73.84536
UgFNd,35.67314,-73.84487
Bxb3v,33.81132,-73.84324
iosY4,35.20649,-73.84285
Sz3Xj,35.74661,-73.83923
0dB3L,36.30432,-73.83873
xp1pN,36.11451,-73.83865
9xElM,34.19448,-73.8384
1x3Hw,36.96213,-73.83713
pYEtA,37.19654,-73.83444
ZgGdi,34.82123,-73.83256
CHu2r,35.56751,-73.83235
y1vnA,37.2143,-73.83175
IdM4w,37.11664,-73.82976
M5s3Q,36.03357,-73.82891
Ot5Ar,36.67733,-73.82574
lRb3f,33.61425,-73.81644
mcRLY,33.54127,-73.81603
Cuv9C,37.47024,-73.8152
4Zzdu,36.75888,-73.81302
uMbtW,33.94594,-73.81145
DcjL6,35.41344,-73.81047
2sh27,35.07757,-73.80994
AhOnN,34.14508,-73.80252
8VjaJ,35.39,-73.80124
VRUlM,33.5603,-73.80083
M9kJj,34.94082,-73.79983
y43f2,34.63843,-73.79722
rkkGZ,33.75384,-73.79512
4ePAs,34.20642,-73.79511
3w8Mz,37.30816,-73.79418
RXNkK,36.15531,-73.79181
ipgsh,35.42651,-73.79079
ZZccH,37.23572,-73.79006
N5mMH,36.07522,-73.78882
cOakA,37.26051,-73.7852
JUCbP,34.95303,-73.77939
VbCaw,35.93121,-73.77782
s4R13,36.26765,-73.77611
7vMgU,33.89047,-73.77596
YpVo9,35.33972,-73.76987
K7Eoj,36.24246,-73.76829
7EiBT,36.47524,-73.76445
hOntY,33.74146,-73.76336
FzpBH,33.5942,-73.76155
bbrgN,35.50439,-73.75864
0yC38,36.9674,-73.75787
8QF6R,37.29612,-73.75784
CUeRu,37.28624,-73.7547
MnWRY,36.56829,-73.75409
RSzQP,36.11368,-73.75163
GaWoz,36.94166,-73.7507
ifZZd,37.08152,-73.74545
1CQkJ,36.08354,-73.74538
U0yxR,33.67793,-73.74414
3hN6S,37.36429,-73.7439
YVEe7,34.78994,-73.73955
nwl03,35.31758,-73.73914
oOtNd,36.76583,-73.73456
mlLAS,37.11166,-73.73435
dvXvP,36.05126,-73.73426
1bLVq,37.49578,-73.73223
nGveD,34.11827,-73.73172
JeHRi,36.65589,-73.72908
na97q,35.70359,-73.72801
Yvd7n,37.26188,-73.72531
SkIlu,35.94692,-73.72483
TvhIn,36.1631,-73.72136
kxviG,34.87098,-73.71949
EoKDC,36.98527,-73.71349
N7Sy8,34.63522,-73.71341
vlPRg,36.67719,-73.71224
p0H7O,36.47507,-73.70932
pDSPa,33.87551,-73.70687
PAgq5,34.0581,-73.70653
M06J3,35.56877,-73.70351
Zj3Nr,35.97131,-73.69809
0s7wK,34.01062,-73.69685
MTS8t,36.64145,-73.69481
hDozu,35.42629,-73.6935
NGi74,36.82396,-73.69244
vUT0q,37.33612,-73.69066
b9y8k,36.31102,-73.68983
OHmw0,36.28232,-73.68882
o2QJM,36.60424,-73.68728
XfxDB,34.26348,-73.68682
odDts,34.66909,-73.68658
dfG13,34.69675,-73.68647
BgTwV,33.91218,-73.6863
80y1t,33.55191,-73.68426
vyzLu,37.37761,-73.68305
McL5Z,35.1812,-73.68272
4MYwA,36.61877,-73.68172
Rgpqz,34.37954,-73.68172
SB0jk,35.75645,-73.68162
BQxZG,37.09209,-73.67976
6Exbl,33.87974,-73.67966
44wjc,35.76759,-73.66991
lQemE,34.95492,-73.66604
aVtmU,34.29097,-73.66466
6Snf3,35.98795,-73.66243
GLVBb,33.98852,-73.65968
1vVit,33.6965,-73.65936
iEq5T,35.70291,-73.6592
9Mv5T,37.19393,-73.65911
ONf0u,37.20031,-73.65886
e05Iy,33.98589,-73.65854
69GO6,35.79668,-73.6578
synOz,36.49191,-73.65669
gZ8UP,36.14789,-73.65341
44RRW,35.65459,-73.65305
doIbd,33.65512,-73.65265
XnsRd,33.72545,-73.65242
ELsTx,35.73394,-73.6501
4ZGXW,36.81692,-73.64944
L6Dww,34.26287,-73.64904
V75uE,35.56932,-73.64874
6Rjtu,35.53763,-73.64371
BrfZ3,35.90165,-73.6418
a8bqH,33.84377,-73.64066
b2tlF,34.11149,-73.63789
n5kpb,36.55711,-73.63553
4pSiG,34.71057,-73.63214
WiX1u,34.6379,-73.63119
uXZ3D,36.04256,-73.63092
VK1FL,36.30278,-73.62967
ccq82,33.93609,-73.6295
hvXUt,36.82233,-73.62919
4lGkU,35.79945,-73.62907
NpSty,35.42115,-73.62249
Ij8VR,33.69122,-73.62243
3yubu,34.3127,-73.62209
se4iU,35.96408,-73.62178
QHHZA,35.92842,-73.61942
EdzKx,35.70543,-73.61829
yv4bQ,36.13927,-73.61583
vOJDj,34.15026,-73.60881
r1r6m,36.39344,-73.6085
gSEEW,33.81403,-73.60793
yyAOj,34.20773,-73.60582
dTALB,34.15116,-73.60568
gl2ns,36.22644,-73.60519
fMRRI,34.35774,-73.60463
ulOzO,34.80564,-73.60456
bL5eH,33.98928,-73.60149
DPVhJ,34.56566,-73.59853
ayoGL,36.95513,-73.59811
NoXAg,35.62204,-73.59731
PWHsW,36.23358,-73.59662
yLH6A,34.05298,-73.59499
BJuG1,36.4484,-73.59413
7AA23,33.66851,-73.59321
Pdgmc,37.27295,-73.59263
kNVEN,35.21195,-73.59244
UHcDU,34.17718,-73.59118
mdJIX,35.22516,-73.59118
DQDPN,37.19419,-73.58994
dqsIx,37.2902,-73.58848
ot5v7,36.86745,-73.58821
L5cBn,34.67685,-73.58789
5Jfdl,36.15092,-73.58427
Ar6jp,36.66573,-73.58233
qUP8u,37.43537,-73.5805
zskGX,36.91013,-73.57752
21RUS,34.79243,-73.57591
Kqq21,36.23223,-73.57431
XoW4t,33.56216,-73.5731
DBRVC,35.08049,-73.57249
u8oyo,35.68675,-73.57229
e9t4Q,36.86543,-73.57145
PMeLw,33.97345,-73.57132
zYi47,34.51452,-73.57064
5llRs,34.09313,-73.56876
3D59M,36.9912,-73.56755
5a03y,37.40523,-73.56626
o5acz,33.81093,-73.56564
vq49C,34.18691,-73.56432
VZZAm,37.01685,-73.56411
WYEjG,36.405,-73.56209
UsPdx,34.14591,-73.56168
S8ool,36.64397,-73.56096
dE9f5,33.81753,-73.56039
gAiiw,33.98667,-73.55855
Db8aR,36.28274,-73.55798
E2UCc,34.36948,-73.5556
Bu3hB,33.62432,-73.55529
qO1iR,34.22803,-73.55217
FswiX,35.07431,-73.54875
m4sI5,35.15894,-73.54817
Eg6ws,34.69913,-73.54768
iIYUQ,35.24299,-73.54583
DB4Jf,34.04476,-73.54539
6sEmu,36.87599,-73.54414
3kxYV,33.59685,-73.544
UXhui,34.1926,-73.54303
2VwfJ,36.22657,-73.54249
Wkdzo,34.51291,-73.542
v1m1W,35.67483,-73.54152
s1rIe,35.32238,-73.53857
ICDet,35.12791,-73.5377
CFrcL,34.48266,-73.53106
ovwEe,36.4377,-73.53042
XXrz6,36.40421,-73.52971
3X5YV,37.06719,-73.52905
Ybhcp,35.54665,-73.52528
uQPZv,37.13016,-73.52522
s25mA,34.40996,-73.52379
LlIaw,37.02633,-73.52061
4m9VM,36.25584,-73.51697
aIguK,37.36202,-73.51643
CFepu,33.71453,-73.51552
NOrJn,35.40036,-73.51315
FbMWm,35.22995,-73.5126
HBzej,35.93619,-73.51209
jkJBS,33.76986,-73.50986
yudFR,33.73233,-73.50773
pJF6P,37.24316,-73.50594
VmqUF,36.53056,-73.50581
wBMwd,33.506,-73.50424
QnykY,33.70726,-73.50397
3UaqO,36.64758,-73.50017
PQkUc,33.55859,-73.49834
unQ3j,35.78633,-73.49639
18rXN,36.10088,-73.49388
5Opjb,35.79615,-73.49292
F1Z3T,34.90251,-73.48829
ZwU4h,35.32962,-73.48772
M1WlC,36.15178,-73.48768
3V84s,35.43097,-73.48682
Mac2q,35.09101,-73.48653
lOuDE,35.34055,-73.48243
7m56X,37.08319,-73.48097
t8MhV,37.03644,-73.4776
hyH77,33.76413,-73.47691
Rd2J8,36.83612,-73.47562
4bxv4,36.62798,-73.4731
5sNzs,34.45387,-73.47292
C56Zn,35.69768,-73.46956
Z2OBh,35.59807,-73.46715
qkDrm,34.61286,-73.46648
e4oJb,35.85204,-73.46563
j2zFX,33.88663,-73.46543
kM7fj,33.64771,-73.46166
Arb8p,36.41869,-73.45462
ZUUVL,37.41754,-73.45435
VxVxD,34.36701,-73.45409
